title,complete
Axiom Verge,TRUE
Bastion,TRUE
Beat ‘Em Up Bundle,FALSE
Blazblue Cross Tag Battle,FALSE
Blazing Star,FALSE
Bloodstained Curse of the Moon,TRUE
Bomb Chicken,FALSE
Cave Story+,TRUE
Crawl,FALSE
Dark Souls,FALSE
Dead Cells,FALSE
Donkey Kong Country Tropical Freeze,TRUE
Dragonball FighterZ,FALSE
Enter the Gungeon,FALSE
Fallout Shelter,FALSE
Fire Emblem Warriors,TRUE
Flint Hook,FALSE
Fortnite,FALSE
Furi,FALSE
God of War 4,FALSE
Golf Story,FALSE
Gonner,FALSE
Hollow Knight,TRUE
Hyrule Warriors,TRUE
Ikaruga,FALSE
Into the Breach,FALSE
Just Shapes & Beats,FALSE
Kirby Star Allies,TRUE
Labo,FALSE
Lost Sphear,FALSE
Lumines,FALSE
Mario & Luigi: Superstar Saga,TRUE
Mario Kart,TRUE
Mario Odyssey,TRUE
Mario Tennis Aces,FALSE
Megaman 11,FALSE
Megaman 11 Demo,TRUE
Megaman Legacy Collection,TRUE
Megaman Legacy Collection 2,TRUE
Megaman X Legacy Collection,FALSE
Minecraft,FALSE
Monster Hunter Generations,FALSE
Monster Hunter World,FALSE
N++,FALSE
Night in the Woods,TRUE
Nintendo Entertainment System,FALSE
Octopath Traveler,FALSE
Okami,TRUE
Owlboy,FALSE
Pocket Rumble,FALSE
Pokemon Quest,FALSE
Rayman Legends,TRUE
Shovel Knight,TRUE
Sine Mora EX,TRUE
Skyrim,FALSE
Slime-San,FALSE
Snipperclips,FALSE
Sonic Mania,TRUE
Sonic the Hedgehog,TRUE
Splatoon 2,TRUE
Street Fighter 30th Anniversary Collection,FALSE
Sushi Striker,FALSE
The Flame in the Flood,FALSE
The King of Fighters ‘98,FALSE
The Messenger,TRUE
Tiny Barbarian,FALSE
Valkyria Chronicles 4,FALSE
Velocity 2X,TRUE
Whip! Whip!,FALSE
Wolfenstein II: The New Colussus,FALSE
Xenoblade Chronicles 2,TRUE
Yoku’s Island Express,TRUE
Gaucamelee!,TRUE
Dragon Quest 11,FALSE